11/05/2024	
Pattern groups for guesses from the Large Vocabulary words list (14,855 words) into Wordlebot’s Classic Solutions list (2,309 words)										
qty = qty of possible remaining words groups, i.e. the number of different clue patterns for the guess
ent = remaining words groups entropy in bits (powers of 2)
min, max = minimum and maximum group sizes amongst the number of different clue patterns for the guess
ave = average group size, i.e. # solutions / # groups
exp = expected group size, i.e. sum of each group size * expectation for that group 
p2 = group size population variance

sorted by entropy

guess	qty	ent     min     max     ave     exp     p2
touse	121	5.417	1	262	19.083	100.96	1562.51
terns	110	5.416	1	255	20.991	90.32	1455.28
stean	116	5.415	1	239	19.905	95.84	1511.45
earth	133	5.415	1	261	17.361	97.12	1384.67
grace	116	5.415	1	302	19.905	100.71	1608.50
risen	125	5.415	1	243	18.472	92.44	1366.31
faire	122	5.415	1	237	18.926	88.00	1307.31
recal	126	5.414	1	249	18.325	92.32	1355.92
rones	121	5.414	1	236	19.083	91.77	1387.02
tenia	120	5.414	1	217	19.242	92.84	1416.07
plore	119	5.413	1	284	19.403	95.86	1483.50
taber	129	5.412	1	286	17.899	96.89	1413.80
sable	121	5.410	1	297	19.083	101.07	1564.60
cause	112	5.410	1	247	20.616	96.05	1555.20
mater	128	5.410	1	274	18.039	93.70	1364.85
farse	120	5.410	1	286	19.242	94.53	1448.65
ahole	107	5.410	1	209	21.579	88.11	1435.78
salep	126	5.409	1	285	18.325	98.42	1467.78
tired	130	5.409	1	312	17.762	103.05	1514.77
sture	122	5.409	1	285	18.926	99.65	1527.82
coset	114	5.409	1	260	20.254	98.23	1579.35
lated	118	5.407	1	257	19.568	93.88	1454.11
oiler	110	5.407	1	186	20.991	83.78	1317.95
stade	114	5.407	1	262	20.254	92.87	1470.87
riato	116	5.406	1	190	19.905	85.09	1297.50
trues	119	5.406	1	285	19.403	97.13	1508.21
rotan	131	5.406	1	256	17.626	97.14	1401.50
resol	107	5.405	1	215	21.579	84.45	1356.79
niter	116	5.405	1	269	19.905	93.87	1472.34
hares	116	5.404	1	238	19.905	87.90	1353.50
saned	121	5.403	1	272	19.083	93.41	1418.42
taces	103	5.402	1	248	22.417	89.55	1504.92
aider	121	5.402	1	220	19.083	93.48	1419.66
liner	122	5.402	1	226	18.926	92.32	1389.15
rails	111	5.402	1	212	20.802	87.52	1387.94
dears	113	5.401	1	256	20.434	93.60	1494.97
blaer	125	5.401	1	291	18.472	99.03	1487.99
spane	125	5.400	1	284	18.472	102.11	1544.91
sired	120	5.399	1	286	19.242	97.65	1508.63
areic	102	5.399	1	205	22.637	87.29	1463.66
drone	130	5.398	1	323	17.762	104.42	1539.20
tails	115	5.398	1	312	20.078	98.17	1567.85
seare	109	5.398	1	325	21.183	103.65	1746.94
haste	125	5.398	1	282	18.472	100.54	1516.01
pears	121	5.397	1	269	19.083	99.00	1525.07
coure	126	5.397	1	290	18.325	102.70	1546.27
apter	122	5.396	1	267	18.926	95.57	1450.66
lathe	116	5.396	1	245	19.905	91.29	1420.90
ayrie	98	5.396	1	170	23.561	78.82	1301.90
solei	105	5.395	1	208	21.990	85.62	1399.15
aeons	101	5.395	1	194	22.861	85.14	1423.80
acoel	109	5.393	1	195	21.183	88.65	1429.25
blase	124	5.393	1	297	18.621	105.12	1610.65
sonce	127	5.393	1	267	18.181	102.57	1534.31
tased	116	5.393	1	262	19.905	91.28	1420.64
curet	133	5.392	1	308	17.361	106.71	1551.10
conte	124	5.392	1	288	18.621	101.47	1542.65
saber	115	5.392	1	277	20.078	93.79	1480.09
arpen	119	5.391	1	272	19.403	97.21	1509.67
tones	112	5.391	1	255	20.616	95.95	1553.15
aloed	114	5.391	1	225	20.254	95.60	1526.15
carol	125	5.391	1	279	18.472	98.84	1484.59
shier	123	5.390	1	272	18.772	99.29	1511.46
pilae	122	5.390	1	252	18.926	98.76	1510.99
prose	124	5.390	1	294	18.621	101.63	1545.74
yeast	104	5.388	1	256	22.202	94.68	1609.14
brace	128	5.388	1	326	18.039	107.10	1606.54
moire	116	5.387	1	247	19.905	94.42	1483.26
preta	125	5.387	1	267	18.472	99.64	1499.35
lyase	109	5.387	1	242	21.183	90.55	1469.47
samel	113	5.386	1	284	20.434	98.73	1599.84
antes	110	5.386	1	239	20.991	88.74	1422.17
coast	115	5.385	1	328	20.078	106.75	1740.21
cores	124	5.385	1	254	18.621	98.06	1479.17
cline	126	5.384	1	318	18.325	106.80	1621.28
orles	97	5.384	1	215	23.804	82.92	1407.31
starn	116	5.384	1	274	19.905	98.09	1556.19
farle	120	5.383	1	292	19.242	94.98	1457.25
clone	123	5.383	1	280	18.772	100.72	1538.34
snarl	110	5.383	1	240	20.991	94.02	1533.05
lotes	112	5.382	1	224	20.616	88.60	1401.49
recta	118	5.382	1	246	19.568	90.93	1396.43
sceat	117	5.382	1	274	19.735	104.44	1671.72
slain	124	5.382	1	326	18.621	104.30	1595.40
spear	123	5.381	1	269	18.772	100.70	1537.95
